transmission_line_id,transmission_circuit_id,owner,province,operating_region,number_of_circuits,current_type,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage,reactance,ttc_summer,ttc_winter,network_node_name_starting,latitude_starting,longitude_starting,network_node_code_starting,network_node_name_ending,latitude_ending,longitude_ending,network_node_code_ending,notes
48,,,,,,,,,,,735,,,,Node_34,50.2050486,-66.8400285,Node_34,Node_32,49.3434837,-68.2572221,Node_32,3
49,,,,,,,,,,,735,,,,Node_35,52.0843754,-65.9554024,Node_35,Node_34,50.2050486,-66.8400285,Node_34,3
50,,,,,,,,,,,735,,,,Node_36,50.5743153,-63.0989383,Node_36,Node_34,50.2050486,-66.8400285,Node_34,2
51,,,,,,,,,,,735,,,,Node_37,48.2296749,-70.1959341,Node_37,Node_28,47.08114,-71.1993319,Node_28,1
52,,,,,,,,,,,735,,,,Node_37,48.2296749,-70.1959341,Node_37,Node_31,49.7965164,-68.7823319,Node_31,1
53,,,,,,,,,,,735,,,,Node_38,56.21404,-73.86678,Node_38,Node_11,53.7438013,-73.4213559,Node_11,1
54,,,,,,,,,,,735,,,,Node_39,49.05096,-64.77019,Node_39,Node_3,49.1890673,-65.6017718,Node_3,1
55,,,,,,,,,,,735,,,,Node_40,47.9551,-78.07737,Node_40,Node_24,47.5405027,-75.1679787,Node_24,1
56,,,,,,,,,,,735,,,,Node_41,50.88179,-59.24046,Node_41,Node_36,50.5743153,-63.0989383,Node_36,1
57,,,,,,,,,,,735,,,,Node_42,47.2512,-73.81746,Node_42,Node_27,46.8387013,-71.5763158,Node_27,1
58,,,,,,,,,,,735,,,,Node_42,47.2512,-73.81746,Node_42,Node_25,48.883683,-72.442474,Node_25,1
59,,,,,,,,,,,735,,,,Node_42,47.2512,-73.81746,Node_42,Node_18,45.837338,-73.1499338,Node_18,2
60,,,,,,,,,,,735,,,,Node_42,47.2512,-73.81746,Node_42,Node_24,47.5405027,-75.1679787,Node_24,2
61,,,,,,,,,,,735,,,,Node_47,48.7177241,-77.9142732,Node_47,Node_12,51.6879428,-76.2568664,Node_12,1
62,,,,,,,,,,,735,,,,Node_47,48.7177241,-77.9142732,Node_47,Node_15,49.8071778,-75.4563038,Node_15,1
63,,,,,,,,,,,735,,,,Node_47,48.7177241,-77.9142732,Node_47,Node_40,47.9551,-78.07737,Node_40,1
64,,,,,,,,,,,735,,,,Node_44,46.1075,-76.123333,Node_44,Node_40,47.9551,-78.07737,Node_40,1
65,,,,,,,,,,,735,,,,Node_46,50.4356692,-68.7676678,Node_46,Node_31,49.7965164,-68.7823319,Node_31,2
66,,,,,,,,,,,735,,,,Node_44,46.1075,-76.123333,Node_44,Node_16,45.5533303,-74.3034735,Node_16,2
67,,,,,,,,,,,735,,,,Node_43,51.11408085,-63.40029252162382,Node_43,Node_36,50.5743153,-63.0989383,Node_36,2
68,,,,,,,,,,,735,,,,Node_46,50.4356692,-68.7676678,Node_46,Node_45,50.7771784,-69.3811298,Node_45,1
69,,,,,,,,,,,735,,,,Node_48,59.970508094129215,-71.96636733876329,Node_48,Node_45,50.7771784,-69.3811298,Node_45,1
70,,,,,,,,,,,735,,,,Node_14,49.9137407,-74.3713954,Node_14,Node_50,49.156563,-73.743324,Node_50,3
