timestamp,production_simulee_mw,production_hq_eolien_mw,ecart_mw
2024-11-21 20:00:00+00:00,1633.4472959151249,1502.0,131.44729591512487
2024-11-21 21:00:00+00:00,1891.898766249529,1725.0,166.898766249529
2024-11-21 22:00:00+00:00,1551.879227798271,1868.0,-316.1207722017291
2024-11-21 23:00:00+00:00,1686.279878946278,2016.0,-329.7201210537221
2024-11-22 00:00:00+00:00,1738.3189512710492,2013.0,-274.6810487289508
2024-11-22 01:00:00+00:00,1930.543788212063,2091.0,-160.45621178793704
2024-11-22 02:00:00+00:00,2223.1979637684394,2278.0,-54.80203623156058
2024-11-22 03:00:00+00:00,2415.387918703391,2306.0,109.38791870339082
2024-11-22 04:00:00+00:00,2519.361994295392,2291.0,228.36199429539192
2024-11-22 05:00:00+00:00,2558.377639371025,2234.0,324.377639371025
2024-11-22 06:00:00+00:00,2567.633744204131,2134.0,433.63374420413083
2024-11-22 07:00:00+00:00,2596.883821564268,2092.0,504.88382156426815
2024-11-22 08:00:00+00:00,2506.186285278017,1982.0,524.1862852780168
2024-11-22 09:00:00+00:00,2537.8376659426654,1742.0,795.8376659426654
2024-11-22 10:00:00+00:00,2050.782032274774,1683.0,367.7820322747739
2024-11-22 11:00:00+00:00,2363.580681002717,1664.0,699.580681002717
2024-11-22 12:00:00+00:00,2623.475698682543,1553.0,1070.4756986825432
2024-11-22 13:00:00+00:00,2713.3058841786733,1546.0,1167.3058841786733
2024-11-22 14:00:00+00:00,2628.8127625340726,1461.0,1167.8127625340726
2024-11-22 15:00:00+00:00,2470.8780038742425,1532.0,938.8780038742425
2024-11-22 16:00:00+00:00,2318.991964977255,1533.0,785.9919649772551
2024-11-22 17:00:00+00:00,2039.7002841620128,1462.0,577.7002841620128
2024-11-22 18:00:00+00:00,2009.9922216934335,1445.0,564.9922216934335
2024-11-22 19:00:00+00:00,1966.9614722162592,1465.0,501.96147221625915
2024-11-22 20:00:00+00:00,1705.5704144148344,1434.0,271.57041441483443
2024-11-22 21:00:00+00:00,1645.8564996141895,1003.0,642.8564996141895
2024-11-22 22:00:00+00:00,1518.8857463023564,1304.0,214.88574630235644
2024-11-22 23:00:00+00:00,1608.620496912263,1277.0,331.620496912263
2024-11-23 00:00:00+00:00,1704.666543811201,1200.0,504.6665438112011
2024-11-23 01:00:00+00:00,1419.3688491096827,1140.0,279.36884910968274
2024-11-23 02:00:00+00:00,1402.243713789062,1030.0,372.243713789062
2024-11-23 03:00:00+00:00,1389.0883328545988,916.0,473.0883328545988
2024-11-23 04:00:00+00:00,1391.6786622095383,838.0,553.6786622095383
2024-11-23 05:00:00+00:00,1326.1795208609417,809.0,517.1795208609417
2024-11-23 06:00:00+00:00,1364.4067751871437,819.0,545.4067751871437
2024-11-23 07:00:00+00:00,1356.8582390511024,878.0,478.8582390511024
2024-11-23 08:00:00+00:00,1539.9758079153046,738.0,801.9758079153046
2024-11-23 09:00:00+00:00,1656.712754265671,757.0,899.712754265671
2024-11-23 10:00:00+00:00,1775.536496646517,841.0,934.536496646517
2024-11-23 11:00:00+00:00,1908.489077554907,881.0,1027.489077554907
2024-11-23 12:00:00+00:00,1892.934426827794,777.0,1115.934426827794
2024-11-23 13:00:00+00:00,1803.9520243640093,769.0,1034.9520243640093
2024-11-23 14:00:00+00:00,1402.138862469776,876.0,526.1388624697761
2024-11-23 15:00:00+00:00,1558.019220858552,902.0,656.019220858552
2024-11-23 16:00:00+00:00,1692.5341485351107,956.0,736.5341485351107
2024-11-23 17:00:00+00:00,1927.491345035104,1145.0,782.4913450351039
2024-11-23 18:00:00+00:00,1859.0273137650267,1196.0,663.0273137650267
2024-11-23 19:00:00+00:00,2126.522266638366,1400.0,726.5222666383661
2024-11-23 20:00:00+00:00,2378.3490784689548,1475.0,903.3490784689548
2024-11-23 21:00:00+00:00,2554.800685364872,1491.0,1063.8006853648722
2024-11-23 22:00:00+00:00,2363.7007848867142,1440.0,923.7007848867142
2024-11-23 23:00:00+00:00,2523.010142501553,1167.0,1356.0101425015532
2024-11-24 00:00:00+00:00,2630.0389794658345,1264.0,1366.0389794658345
2024-11-24 01:00:00+00:00,2624.0207520631507,1241.0,1383.0207520631507
2024-11-24 02:00:00+00:00,2568.9279143863337,1545.0,1023.9279143863337
2024-11-24 03:00:00+00:00,2510.177756839993,1488.0,1022.177756839993
2024-11-24 04:00:00+00:00,2396.605527713839,1482.0,914.6055277138389
2024-11-24 05:00:00+00:00,2277.2085522367915,1457.0,820.2085522367915
2024-11-24 06:00:00+00:00,2131.136226581608,1392.0,739.1362265816078
2024-11-24 07:00:00+00:00,1982.208117574069,1276.0,706.2081175740691
2024-11-24 08:00:00+00:00,1880.0861088318577,1160.0,720.0861088318577
2024-11-24 09:00:00+00:00,1783.3927823066415,1055.0,728.3927823066415
2024-11-24 10:00:00+00:00,1632.5494838792995,1028.0,604.5494838792995
2024-11-24 11:00:00+00:00,1646.7230456665577,936.0,710.7230456665577
2024-11-24 12:00:00+00:00,1684.1707235182864,803.0,881.1707235182864
2024-11-24 13:00:00+00:00,1647.418169579803,812.0,835.4181695798029
2024-11-24 14:00:00+00:00,1875.721343558356,848.0,1027.721343558356
2024-11-24 15:00:00+00:00,1846.1956368174465,870.0,976.1956368174465
2024-11-24 16:00:00+00:00,1815.5641556452647,819.0,996.5641556452647
2024-11-24 17:00:00+00:00,1979.7909417252324,842.0,1137.7909417252324
2024-11-24 18:00:00+00:00,1798.7002658168385,952.0,846.7002658168385
2024-11-24 19:00:00+00:00,1673.8535713361366,924.0,749.8535713361366
2024-11-24 20:00:00+00:00,1743.4692940184837,1009.0,734.4692940184837
2024-11-24 21:00:00+00:00,1925.25351174246,1145.0,780.25351174246
2024-11-24 22:00:00+00:00,1937.9337669629836,1261.0,676.9337669629836
2024-11-24 23:00:00+00:00,2176.725258819395,1285.0,891.7252588193951
2024-11-25 00:00:00+00:00,2141.650813890103,1263.0,878.6508138901031
2024-11-25 01:00:00+00:00,2021.776653097659,1124.0,897.7766530976589
2024-11-25 02:00:00+00:00,1891.4071589103332,1021.0,870.4071589103332
2024-11-25 03:00:00+00:00,1833.689385647045,961.0,872.6893856470449
2024-11-25 04:00:00+00:00,1714.9615680678476,901.0,813.9615680678476
2024-11-25 05:00:00+00:00,1737.44673330539,855.0,882.4467333053899
2024-11-25 06:00:00+00:00,1772.195235327076,822.0,950.195235327076
2024-11-25 07:00:00+00:00,1721.760792507319,792.0,929.7607925073189
2024-11-25 08:00:00+00:00,1602.3707402752243,771.0,831.3707402752243
2024-11-25 09:00:00+00:00,1533.9712266636336,775.0,758.9712266636336
2024-11-25 10:00:00+00:00,1330.7642035478173,715.0,615.7642035478173
2024-11-25 11:00:00+00:00,1417.6766133343274,759.0,658.6766133343274
2024-11-25 12:00:00+00:00,1366.0704444703715,730.0,636.0704444703715
2024-11-25 13:00:00+00:00,1216.9849990291973,740.0,476.9849990291973
2024-11-25 14:00:00+00:00,1097.550708732065,708.0,389.550708732065
2024-11-25 15:00:00+00:00,1079.3044496755006,688.0,391.30444967550056
2024-11-25 16:00:00+00:00,1037.1366902053946,652.0,385.13669020539464
2024-11-25 17:00:00+00:00,961.223628927904,656.0,305.223628927904
2024-11-25 18:00:00+00:00,835.1764391139582,583.0,252.17643911395817
2024-11-25 19:00:00+00:00,792.00556388425,588.0,204.00556388425002
2024-11-25 20:00:00+00:00,624.4150263122375,595.0,29.4150263122375
2024-11-25 21:00:00+00:00,612.8682954374069,657.0,-44.131704562593086
2024-11-25 22:00:00+00:00,462.0073979037403,566.0,-103.9926020962597
2024-11-25 23:00:00+00:00,415.5781973728682,422.0,-6.421802627131797
2024-11-26 00:00:00+00:00,350.64063661347484,306.0,44.64063661347484
2024-11-26 01:00:00+00:00,294.3423969424645,273.0,21.342396942464518
2024-11-26 02:00:00+00:00,233.27072093655468,172.0,61.27072093655468
2024-11-26 03:00:00+00:00,176.1689047135386,125.0,51.16890471353861
2024-11-26 04:00:00+00:00,144.8536012499464,87.0,57.853601249946394
2024-11-26 05:00:00+00:00,97.0017188257853,92.0,5.001718825785304
2024-11-26 06:00:00+00:00,63.10489270247214,72.0,-8.895107297527858
2024-11-26 07:00:00+00:00,51.55735139130467,65.0,-13.442648608695329
2024-11-26 08:00:00+00:00,47.63156979916758,37.0,10.631569799167579
2024-11-26 09:00:00+00:00,56.28213329390064,50.0,6.2821332939006425
2024-11-26 10:00:00+00:00,102.46981935502248,50.0,52.46981935502248
2024-11-26 11:00:00+00:00,148.07450450973036,90.0,58.07450450973036
2024-11-26 12:00:00+00:00,191.60949637959104,135.0,56.609496379591036
2024-11-26 13:00:00+00:00,267.4814064774249,186.0,81.48140647742491
2024-11-26 14:00:00+00:00,311.6382463535205,265.0,46.638246353520515
2024-11-26 15:00:00+00:00,317.8852436626928,353.0,-35.1147563373072
2024-11-26 16:00:00+00:00,420.0297384697421,417.0,3.0297384697420853
2024-11-26 17:00:00+00:00,507.9692744654227,473.0,34.9692744654227
2024-11-26 18:00:00+00:00,653.4929666728318,599.0,54.49296667283181
2024-11-26 19:00:00+00:00,741.3420967766834,779.0,-37.657903223316566
2024-11-26 20:00:00+00:00,838.5520326101047,945.0,-106.44796738989533
2024-11-26 21:00:00+00:00,1065.78693738355,985.0,80.78693738354991
2024-11-26 22:00:00+00:00,1013.3916575017494,1173.0,-159.60834249825064
2024-11-26 23:00:00+00:00,1078.7743238968333,1241.0,-162.22567610316673
2024-11-27 00:00:00+00:00,1069.0137651844614,1323.0,-253.98623481553864
2024-11-27 01:00:00+00:00,1115.5210961599853,1353.0,-237.4789038400147
2024-11-27 02:00:00+00:00,1146.9423127956277,1398.0,-251.05768720437231
2024-11-27 03:00:00+00:00,1076.5351533877883,1361.0,-284.46484661221166
2024-11-27 04:00:00+00:00,966.0370966895546,1313.0,-346.9629033104454
2024-11-27 05:00:00+00:00,894.4593552971138,1102.0,-207.5406447028862
2024-11-27 06:00:00+00:00,840.420489709332,933.0,-92.57951029066805
2024-11-27 07:00:00+00:00,815.0443417813558,830.0,-14.955658218644203
2024-11-27 08:00:00+00:00,794.9478138174204,753.0,41.94781381742041
2024-11-27 09:00:00+00:00,867.8678188320379,661.0,206.86781883203787
2024-11-27 10:00:00+00:00,850.4114217900054,673.0,177.41142179000542
2024-11-27 11:00:00+00:00,935.8767097803408,751.0,184.87670978034078
2024-11-27 12:00:00+00:00,990.0851473491632,712.0,278.0851473491632
2024-11-27 13:00:00+00:00,987.574104418028,800.0,187.574104418028
2024-11-27 14:00:00+00:00,944.809564817832,802.0,142.80956481783198
2024-11-27 15:00:00+00:00,1054.832655338544,750.0,304.8326553385441
2024-11-27 16:00:00+00:00,1296.5586674930455,733.0,563.5586674930455
2024-11-27 17:00:00+00:00,1209.3209141038476,701.0,508.3209141038476
2024-11-27 18:00:00+00:00,1178.8114164534595,698.0,480.8114164534595
