mesh_point_id,mesh_ix,mesh_iy,x_m,y_m,latitude,longitude,longitude_norm,era5_latitude,era5_longitude_norm,era5_longitude,distance_to_cell_center_km,era5_cell_id
6258,34,80,-220000.0,1720000.0,59.47046751930249,-72.38719535808922,-72.38719535808922,58.0,-73.8,-73.8,182.69933555093692,58.0000_-73.8000
6259,35,80,-200000.0,1720000.0,59.47978359886184,-72.03441702803472,-72.03441702803472,58.0,-72.3,-72.3,165.25637069845138,58.0000_-72.3000
6260,36,80,-180000.0,1720000.0,59.488214319949435,-71.68146668076105,-71.68146668076105,58.0,-72.3,-72.3,169.2842800122925,58.0000_-72.3000
6261,37,80,-160000.0,1720000.0,59.495759117282,-71.32836137449893,-71.32836137449893,58.0,-72.3,-72.3,175.50749472702543,58.0000_-72.3000
6262,38,80,-140000.0,1720000.0,59.50241748461883,-70.97511821264176,-70.97511821264176,59.5,-72.3,-72.3,74.76729104392751,59.5000_-72.3000
6263,39,80,-120000.0,1720000.0,59.50818897491503,-70.62175433881085,-70.62175433881085,59.5,-70.8,-70.8,10.09934064212774,59.5000_-70.8000
6264,40,80,-100000.0,1720000.0,59.51307320045685,-70.26828693189148,-70.26828693189148,59.5,-70.8,-70.8,30.03694014786001,59.5000_-70.8000
6265,41,80,-80000.0,1720000.0,59.51706983297928,-69.91473320104312,-69.91473320104312,59.5,-70.8,-70.8,49.983758683526524,59.5000_-70.8000
6278,54,80,180000.0,1720000.0,59.488214319949435,-65.31853331923897,-65.31853331923897,58.0,-66.3,-66.3,174.8973254543839,58.0000_-66.3000
6279,55,80,200000.0,1720000.0,59.47978359886184,-64.96558297196528,-64.96558297196528,58.0,-66.3,-66.3,181.66031236289012,58.0000_-66.3000
6280,56,80,220000.0,1720000.0,59.47046751930249,-64.61280464191078,-64.61280464191078,58.0,-64.8,-64.8,163.8650597907477,58.0000_-64.8000
6308,19,81,-520000.0,1740000.0,59.403369187547625,-77.69176413935654,-77.69176413935654,58.0,-78.3,-78.3,159.95245160831655,58.0000_-78.3000
6309,20,81,-500000.0,1740000.0,59.42595948763298,-77.34189250042411,-77.34189250042411,58.0,-78.3,-78.3,167.93090411356366,58.0000_-78.3000
6310,21,81,-480000.0,1740000.0,59.44767601639718,-76.99159546513687,-76.99159546513687,58.0,-78.3,-78.3,177.80586722975264,58.0000_-78.3000
6311,22,81,-460000.0,1740000.0,59.46851733567685,-76.64088907501058,-76.64088907501058,58.0,-76.8,-76.8,163.5497514246502,58.0000_-76.8000
6312,23,81,-440000.0,1740000.0,59.48848206266656,-76.28978948772439,-76.28978948772439,58.0,-76.8,-76.8,168.1078053170606,58.0000_-76.8000
6313,24,81,-420000.0,1740000.0,59.507568870325194,-75.93831297292293,-75.93831297292293,59.5,-76.8,-76.8,48.63145948099479,59.5000_-76.8000
6314,25,81,-400000.0,1740000.0,59.525776487767516,-75.5864759079401,-75.5864759079401,59.5,-76.8,-76.8,68.51902915771095,59.5000_-76.8000
6315,26,81,-380000.0,1740000.0,59.54310370064037,-75.23429477344715,-75.23429477344715,59.5,-75.3,-75.3,6.0584406372718425,59.5000_-75.3000
6316,27,81,-360000.0,1740000.0,59.55954935148364,-74.88178614902797,-74.88178614902797,59.5,-75.3,-75.3,24.493374239311436,59.5000_-75.3000
6317,28,81,-340000.0,1740000.0,59.575112340075066,-74.52896670868418,-74.52896670868418,59.5,-75.3,-75.3,44.26033669208112,59.5000_-75.3000
6318,29,81,-320000.0,1740000.0,59.58979162375944,-74.1758532162728,-74.1758532162728,59.5,-75.3,-75.3,64.13875016997783,59.5000_-75.3000
6319,30,81,-300000.0,1740000.0,59.60358621776113,-73.82246252088014,-73.82246252088014,59.5,-75.3,-75.3,84.04912561921229,59.5000_-75.3000
6320,31,81,-280000.0,1740000.0,59.61649519548034,-73.46881155213403,-73.46881155213403,59.5,-73.8,-73.8,22.714310263198914,59.5000_-73.8000
6321,32,81,-260000.0,1740000.0,59.6285176887725,-73.11491731545848,-73.11491731545848,59.5,-73.8,-73.8,41.15035808476861,59.5000_-73.8000
6322,33,81,-240000.0,1740000.0,59.63965288821065,-72.76079688727322,-72.76079688727322,59.5,-73.8,-73.8,60.55118579415318,59.5000_-73.8000
6323,34,81,-220000.0,1740000.0,59.649900043330696,-72.40646741014207,-72.40646741014207,59.5,-73.8,-73.8,80.21948329571906,59.5000_-73.8000
6324,35,81,-200000.0,1740000.0,59.659258462859285,-72.05194608787309,-72.05194608787309,59.5,-72.3,-72.3,22.553265136210825,59.5000_-72.3000
6325,36,81,-180000.0,1740000.0,59.66772751492407,-71.69725018057404,-71.69725018057404,59.5,-72.3,-72.3,38.71964362901615,59.5000_-72.3000
6326,37,81,-160000.0,1740000.0,59.675306627246286,-71.3423969996669,-71.3423969996669,59.5,-72.3,-72.3,57.31848342300808,59.5000_-72.3000
6327,38,81,-140000.0,1740000.0,59.68199528731551,-70.98740390286463,-70.98740390286463,59.5,-72.3,-72.3,76.59768345932939,59.5000_-72.3000
6328,39,81,-120000.0,1740000.0,59.68779304254628,-70.63228828911396,-70.63228828911396,59.5,-70.8,-70.8,22.9157164283376,59.5000_-70.8000
6329,40,81,-100000.0,1740000.0,59.692699500416644,-70.27706759350811,-70.27706759350811,59.5,-70.8,-70.8,36.40205228432645,59.5000_-70.8000
6330,41,81,-80000.0,1740000.0,59.696714328588506,-69.92175928217253,-69.92175928217253,59.5,-70.8,-70.8,54.04352287802602,59.5000_-70.8000
6343,54,81,180000.0,1740000.0,59.66772751492407,-65.30274981942596,-65.30274981942596,59.5,-66.3,-66.3,59.15686013707428,59.5000_-66.3000
6344,55,81,200000.0,1740000.0,59.659258462859285,-64.94805391212692,-64.94805391212692,59.5,-66.3,-66.3,78.1493304489591,59.5000_-66.3000
6372,19,82,-520000.0,1760000.0,59.58160762294296,-77.7371469283918,-77.7371469283918,59.5,-78.3,-78.3,32.99872334914364,59.5000_-78.3000
6373,20,82,-500000.0,1760000.0,59.60429981193787,-77.38558415004856,-77.38558415004856,59.5,-78.3,-78.3,52.81462461015398,59.5000_-78.3000
6374,21,82,-480000.0,1760000.0,59.62611438296126,-77.03358970352497,-77.03358970352497,59.5,-78.3,-78.3,72.70133335874158,59.5000_-78.3000
6375,22,82,-460000.0,1760000.0,59.647049880351915,-76.6811798570824,-76.6811798570824,59.5,-76.8,-76.8,17.66728513358372,59.5000_-76.8000
6376,23,82,-440000.0,1760000.0,59.667104904444365,-76.32837099799036,-76.32837099799036,59.5,-76.8,-76.8,32.40680520251892,59.5000_-76.8000
6377,24,82,-420000.0,1760000.0,59.686278111984215,-75.97517962823227,-75.97517962823227,59.5,-76.8,-76.8,50.8319399516702,59.5000_-76.8000
6378,25,82,-400000.0,1760000.0,59.70456821652874,-75.62162236013027,-75.62162236013027,59.5,-76.8,-76.8,70.0934121593497,59.5000_-76.8000
6379,26,82,-380000.0,1760000.0,59.72197398883159,-75.26771591189194,-75.26771591189194,59.5,-75.3,-75.3,24.749129002524317,59.5000_-75.3000
6380,27,82,-360000.0,1760000.0,59.738494257211926,-74.91347710308142,-74.91347710308142,59.5,-75.3,-75.3,34.289204972304375,59.5000_-75.3000
6381,28,82,-340000.0,1760000.0,59.754127907907225,-74.55892285001802,-74.55892285001802,59.5,-75.3,-75.3,50.34368172716679,59.5000_-75.3000
6382,29,82,-320000.0,1760000.0,59.76887388540987,-74.2040701611053,-74.2040701611053,59.5,-75.3,-75.3,68.47369048115212,59.5000_-75.3000
6383,30,82,-300000.0,1760000.0,59.78273119278691,-73.84893613209375,-73.84893613209375,59.5,-75.3,-75.3,87.39652459957821,59.5000_-75.3000
6384,31,82,-280000.0,1760000.0,59.79569889198317,-73.49353794127998,-73.49353794127998,59.5,-73.8,-73.8,37.11629327254626,59.5000_-73.8000
6385,32,82,-260000.0,1760000.0,59.807776104107,-73.13789284464617,-73.13789284464617,59.5,-73.8,-73.8,50.544298247614954,59.5000_-73.8000
6386,33,82,-240000.0,1760000.0,59.81896200969878,-72.78201817094262,-72.78201817094262,59.5,-73.8,-73.8,67.2843770143065,59.5000_-73.8000
6387,34,82,-220000.0,1760000.0,59.829255848981774,-72.4259313167172,-72.4259313167172,59.5,-73.8,-73.8,85.41045120224993,59.5000_-73.8000
6388,35,82,-200000.0,1760000.0,59.8386569220953,-72.0696497412949,-72.0696497412949,59.5,-72.3,-72.3,39.81645792112009,59.5000_-72.3000
6389,36,82,-180000.0,1760000.0,59.847164589309976,-71.71319096171123,-71.71319096171123,59.5,-72.3,-72.3,50.7506271258046,59.5000_-72.3000
6390,37,82,-160000.0,1760000.0,59.8547782712246,-71.3565725476032,-71.3565725476032,59.5,-72.3,-72.3,66.03946120272798,59.5000_-72.3000
6391,38,82,-140000.0,1760000.0,59.86149744894509,-70.999812116061,-70.999812116061,59.5,-72.3,-72.3,83.31905253604833,59.5000_-72.3000
6392,39,82,-120000.0,1760000.0,59.86732166424464,-70.64292732644496,-70.64292732644496,59.5,-70.8,-70.8,41.78498793732081,59.5000_-70.8000
6393,40,82,-100000.0,1760000.0,59.87225051970567,-70.28593587517086,-70.28593587517086,59.5,-70.8,-70.8,50.4549970227502,59.5000_-70.8000
6394,41,82,-80000.0,1760000.0,59.87628367884282,-69.92885549046777,-69.92885549046777,59.5,-70.8,-70.8,64.34837455596364,59.5000_-70.8000
6407,54,82,180000.0,1760000.0,59.847164589309976,-65.28680903828877,-65.28680903828877,59.5,-66.3,-66.3,68.74614629402336,59.5000_-66.3000
6408,55,82,200000.0,1760000.0,59.8386569220953,-64.93035025870512,-64.93035025870512,59.5,-66.3,-66.3,85.631057119263,59.5000_-66.3000
6438,21,83,-480000.0,1780000.0,59.80446717721291,-77.07599936166902,-77.07599936166902,59.5,-78.3,-78.3,76.64621301616442,59.5000_-78.3000
6439,22,83,-460000.0,1780000.0,59.825497540885564,-76.72186967092495,-76.72186967092495,59.5,-76.8,-76.8,36.4587485467297,59.5000_-76.8000
6440,23,83,-440000.0,1780000.0,59.84564352324885,-76.3673350373144,-76.3673350373144,59.5,-76.8,-76.8,45.46728507862305,59.5000_-76.8000
6441,24,83,-420000.0,1780000.0,59.864903764546135,-76.01241219953516,-76.01241219953516,59.5,-76.8,-76.8,60.004973576021406,59.5000_-76.8000
6442,25,83,-400000.0,1780000.0,59.8832769624991,-75.65711800935155,-75.65711800935155,59.5,-76.8,-76.8,77.00068115538582,59.5000_-76.8000
6443,26,83,-380000.0,1780000.0,59.900761872701416,-75.30146942703674,-75.30146942703674,59.5,-76.8,-76.8,95.14567933099244,59.5000_-76.8000
6444,27,83,-360000.0,1780000.0,59.91735730899615,-74.94548351673696,-74.94548351673696,59.5,-75.3,-75.3,50.488098937282885,59.5000_-75.3000
6445,28,83,-340000.0,1780000.0,59.93306214383684,-74.58917744176074,-74.58917744176074,59.5,-75.3,-75.3,62.50942124980763,59.5000_-75.3000
6446,29,83,-320000.0,1780000.0,59.94787530863176,-74.23256845979606,-74.23256845979606,59.5,-75.3,-75.3,77.85177716365561,59.5000_-75.3000
6447,30,83,-300000.0,1780000.0,59.961795794071016,-73.87567391805875,-73.87567391805875,59.5,-75.3,-75.3,94.9177742345385,59.5000_-75.3000
6448,31,83,-280000.0,1780000.0,59.97482265043677,-73.51851124837548,-73.51851124837548,59.5,-73.8,-73.8,55.10383081714051,59.5000_-73.8000
6449,32,83,-260000.0,1780000.0,59.98695498789542,-73.16109796220456,-73.16109796220456,59.5,-73.8,-73.8,64.90916697234131,59.5000_-73.8000
6450,33,83,-240000.0,1780000.0,59.998191976772546,-72.80345164559806,-72.80345164559806,59.5,-73.8,-73.8,78.64470574796788,59.5000_-73.8000
6451,34,83,-220000.0,1780000.0,60.00853284780945,-72.44558995410883,-72.44558995410883,59.5,-73.8,-73.8,94.61364790657996,59.5000_-73.8000
6452,35,83,-200000.0,1780000.0,60.01797689240182,-72.08753060764602,-72.08753060764602,59.5,-72.3,-72.3,58.812626822423134,59.5000_-72.3000
6453,36,83,-180000.0,1780000.0,60.02652346281994,-71.7292913852827,-71.7292913852827,59.5,-72.3,-72.3,66.70000182973084,59.5000_-72.3000
6454,37,83,-160000.0,1780000.0,60.03417197241023,-71.37089012001952,-71.37089012001952,59.5,-72.3,-72.3,78.95461223102437,59.5000_-72.3000
6455,38,83,-140000.0,1780000.0,60.040921895778276,-71.01234469350788,-71.01234469350788,59.5,-72.3,-72.3,93.88134684101718,59.5000_-72.3000
