era5_cell_id,era5_latitude,era5_longitude,weibull_k,weibull_c,sample_count,weibull_method,best_model_by_energy,annual_energy_park_mwh,total_annual_cost_per_mwh_cad,om_cost_per_mwh_cad,best_model_rank_total_cost,best_model_rank_om_cost,best_model_by_total_cost,min_total_annual_cost_per_mwh_cad,ranking_model_count
59.5000_-73.8000,59.5,-73.8,2.236576853819532,9.103546509528442,87600,mle,E92-2.35,872959.3762007476,29.897229891634417,11.623756423229116,1,5,E92-2.35,29.897229891634417,17
61.0000_-78.3000,61.0,-78.3,2.179549216032849,9.101524773403243,87600,mle,E92-2.35,868804.1232463161,30.040220180829106,11.67934967713627,1,5,E92-2.35,30.040220180829106,17
56.5000_-72.3000,56.5,-72.3,2.381687428763108,8.99142451920613,87600,mle,E92-2.35,867081.8110912651,30.099890024776975,11.702548740540342,1,5,E92-2.35,30.099890024776975,17
61.0000_-72.3000,61.0,-72.3,2.192099185913784,9.081397808587212,87600,mle,E92-2.35,867075.4012193772,30.100112538803586,11.702635251861137,1,5,E92-2.35,30.100112538803586,17
61.0000_-75.3000,61.0,-75.3,2.203266285644185,9.061755999987536,87600,mle,E92-2.35,865284.1981628835,30.16242202474448,11.726860582771685,1,5,E92-2.35,30.16242202474448,17
56.5000_-76.8000,56.5,-76.8,2.1268101153076104,8.995108851162545,87600,mle,E92-2.35,851652.4771181144,30.64520782543545,11.914563074680332,1,5,E92-2.35,30.64520782543545,17
55.0000_-69.3000,55.0,-69.3,2.428128191814904,8.80169199611689,87600,mle,E92-2.35,842768.2103303918,30.968262490702948,12.040163632125553,1,5,E92-2.35,30.968262490702948,17
55.0000_-72.3000,55.0,-72.3,2.3567169417402796,8.820453803665437,87600,mle,E92-2.35,841756.9118493408,31.005468192701677,12.054628852453858,1,5,E92-2.35,31.005468192701677,17
58.0000_-76.8000,58.0,-76.8,2.23178270227253,8.852441539113636,87600,mle,E92-2.35,839336.1514251698,31.094892209773192,12.089396053180934,1,5,E92-2.35,31.094892209773192,17
50.5000_-57.3000,50.5,-57.3,2.1154263305354086,8.858291689160247,87600,mle,E92-2.35,833349.4816359776,31.31827370324336,12.176244636777668,1,5,E92-2.35,31.31827370324336,17
49.0000_-67.8000,49.0,-67.8,2.164554366447443,8.631266279984416,87600,mle,E92-2.35,805870.3400310378,32.3861865363184,12.591438910558132,1,5,E92-2.35,32.3861865363184,17
58.0000_-64.8000,58.0,-64.8,2.1520217359571006,8.556741236448945,87600,mle,E92-2.35,795142.9849465837,32.82311188104717,12.761311296751469,1,5,E92-2.35,32.82311188104717,17
61.0000_-76.8000,61.0,-76.8,2.1497209557407393,8.533250405668774,87600,mle,E92-2.35,791831.2427948607,32.96039073200979,12.814683998216925,1,5,E92-2.35,32.96039073200979,17
52.0000_-70.8000,52.0,-70.8,2.544021053064994,8.410916702353335,87600,mle,E92-2.35,788680.0939148688,33.092083035569416,12.865884703597972,1,5,E92-2.35,33.092083035569416,17
56.5000_-64.8000,56.5,-64.8,2.4128789581439953,8.430692179239498,87600,mle,E92-2.35,787339.1778932674,33.14844210619168,12.887796570066111,1,5,E92-2.35,33.14844210619168,17
56.5000_-75.3000,56.5,-75.3,2.3790869183619323,8.412779014142764,87600,mle,E92-2.35,783482.4112592089,33.3116184629917,12.95123797357902,1,5,E92-2.35,33.3116184629917,17
55.0000_-64.8000,55.0,-64.8,2.5698190191414287,8.348635031557125,87600,mle,E92-2.35,779637.2214153154,33.47591217996564,13.015113796017886,1,5,E92-2.35,33.47591217996564,17
55.0000_-66.3000,55.0,-66.3,2.497174336554993,8.32668070361829,87600,mle,E92-2.35,774057.1995760466,33.717233262123344,13.108937119749163,1,5,E92-2.35,33.717233262123344,17
53.5000_-72.3000,53.5,-72.3,2.4055539249886353,8.185267780094533,87600,mle,E92-2.35,749638.968469302,34.815515540265416,13.535938742686971,1,5,E92-2.35,34.815515540265416,17
58.0000_-72.3000,58.0,-72.3,2.4158317819716886,7.943406927894783,87600,mle,E92-2.35,711892.3927066725,36.661533995469114,14.253653024372898,1,5,E92-2.35,36.661533995469114,17
58.0000_-66.3000,58.0,-66.3,2.2669511844531387,7.934689612042431,87600,mle,E92-2.35,708576.1456012704,36.833115704431265,14.320362348242917,1,5,E92-2.35,36.833115704431265,17
58.0000_-67.8000,58.0,-67.8,2.389903198000019,7.877665463402276,87600,mle,E92-2.35,701150.4803630909,37.22320370203001,14.472024822798184,1,5,E92-2.35,37.22320370203001,17
50.5000_-73.8000,50.5,-73.8,2.5035316533111303,7.713934922452195,87600,mle,E92-2.35,675277.1083492971,38.64941789620298,15.026523231530605,1,5,E92-2.35,38.64941789620298,17
58.0000_-69.3000,58.0,-69.3,2.4249040696830972,7.667131043911217,87600,mle,E92-2.35,667445.5366917541,39.10291660004738,15.202839180895946,1,5,E92-2.35,39.10291660004738,17
56.5000_-70.8000,56.5,-70.8,2.5071423528071137,7.658917974624258,87600,mle,E92-2.35,666131.2695225646,39.1800660777229,15.232834158354729,1,5,E92-2.35,39.1800660777229,17
53.5000_-78.3000,53.5,-78.3,2.412908400137371,7.517933499298287,87600,mle,E92-2.35,643044.851020052,40.58669798060117,15.779719159923898,1,5,E92-2.35,40.58669798060117,17
52.0000_-72.3000,52.0,-72.3,2.46504807903316,7.49087135280911,87600,mle,E92-2.35,638236.5030241505,40.89247016218367,15.89860045336135,1,5,E92-2.35,40.89247016218367,17
56.5000_-66.3000,56.5,-66.3,2.541101828319438,7.441412280393833,87600,mle,E92-2.35,629315.7937199124,41.47213118879288,16.123967104578412,1,5,E92-2.35,41.47213118879288,17
53.5000_-73.8000,53.5,-73.8,2.488701190817998,7.3671238672125,87600,mle,E92-2.35,617241.4993464408,42.28339666721409,16.4393793467802,1,5,E92-2.35,42.28339666721409,17
53.5000_-75.3000,53.5,-75.3,2.4956533544586037,7.367183141531694,87600,mle,E92-2.35,617170.2690990368,42.288276773979575,16.441276685515827,1,5,E92-2.35,42.288276773979575,17
50.5000_-60.3000,50.5,-60.3,2.4124680065557222,7.312961114743077,87600,mle,E92-2.35,609157.3894963762,42.8445383842574,16.657545867941714,1,5,E92-2.35,42.8445383842574,17
47.5000_-66.3000,47.5,-66.3,2.414163372331942,7.276590681814188,87600,mle,E92-2.35,603077.6332319162,43.276463457060444,16.825474196336877,1,5,E92-2.35,43.276463457060444,17
53.5000_-76.8000,53.5,-76.8,2.536077905354058,7.231593222342023,87600,mle,E92-2.35,593481.4889512116,43.97621095554853,17.097529316816964,1,5,E92-2.35,43.97621095554853,17
49.0000_-64.8000,49.0,-64.8,2.06686645426377,7.116267045684376,87600,mle,E92-2.35,584661.5141366839,44.639618865403904,17.355455953543935,1,5,E92-2.35,44.639618865403904,17
52.0000_-64.8000,52.0,-64.8,2.5957811993750592,7.160084361380618,87600,mle,E92-2.35,580059.0237767216,44.99381284753131,17.49316317892051,1,5,E92-2.35,44.99381284753131,17
50.5000_-78.3000,50.5,-78.3,2.509600568394143,7.104056973689342,87600,mle,E92-2.35,572110.0241024554,45.618964983661286,17.736216337496565,1,5,E92-2.35,45.618964983661286,17
52.0000_-78.3000,52.0,-78.3,2.3600248781181463,7.061613515291544,87600,mle,E92-2.35,568434.7307813627,45.91392070723071,17.850892295732002,1,5,E92-2.35,45.91392070723071,17
52.0000_-73.8000,52.0,-73.8,2.5463992849112227,7.021912991379654,87600,mle,E92-2.35,557130.0102747907,46.845559698819315,18.21310460609855,1,5,E92-2.35,46.845559698819315,17
56.5000_-67.8000,56.5,-67.8,2.4772589991899485,7.008403705399621,87600,mle,E92-2.35,556520.6001865659,46.89685727281644,18.233048611192213,1,5,E92-2.35,46.89685727281644,17
52.0000_-76.8000,52.0,-76.8,2.5653898248079496,6.966897561010356,87600,mle,E92-2.35,547126.7240184144,47.70205148204956,18.5461004021255,1,5,E92-2.35,47.70205148204956,17
52.0000_-66.3000,52.0,-66.3,2.6218430836922972,6.974346600522115,87600,mle,E92-2.35,547011.7547750016,47.71207735209761,18.549998364304333,1,4,E92-2.35,47.71207735209761,17
50.5000_-75.3000,50.5,-75.3,2.653549138528037,6.977435620538071,87600,mle,E92-2.35,546786.3204848735,47.73174854335724,18.55764633492186,1,4,E92-2.35,47.73174854335724,17
50.5000_-61.8000,50.5,-61.8,2.455648175780813,6.902465624358927,87600,mle,E92-2.35,539078.8620027185,48.414191310287194,18.822973541634344,1,5,E92-2.35,48.414191310287194,17
50.5000_-70.8000,50.5,-70.8,2.5608550350563712,6.873535044837625,87600,mle,E92-2.35,531047.4147306994,49.14639716223208,19.107648158831964,1,4,E92-2.35,49.14639716223208,17
49.0000_-73.8000,49.0,-73.8,2.692015058898273,6.893477755824073,87600,mle,E92-2.35,530968.6395203453,49.15368858678419,19.11048299481106,1,4,E92-2.35,49.15368858678419,17
56.5000_-69.3000,56.5,-69.3,2.341860170596912,6.810111217882337,87600,mle,E92-2.35,527214.9914573892,49.50365141208416,19.24654518696787,1,5,E92-2.35,49.50365141208416,17
50.5000_-79.8000,50.5,-79.8,2.490522891716695,6.832658474096253,87600,mle,E92-2.35,526110.521331772,49.60757502105365,19.28694969004935,1,4,E92-2.35,49.60757502105365,17
49.0000_-70.8000,49.0,-70.8,2.475138499393311,6.800754946750972,87600,mle,E92-2.35,521148.5743293258,50.07989744559662,19.470584121600908,1,4,E92-2.35,50.07989744559662,17
49.0000_-75.3000,49.0,-75.3,2.688490042546267,6.826267169055946,87600,mle,E92-2.35,519147.98323851655,50.27288557209055,19.54561605543129,1,3,E92-2.35,50.27288557209055,17
50.5000_-72.3000,50.5,-72.3,2.614526302999816,6.795767706909349,87600,mle,E92-2.35,515921.66148977564,50.58726761145839,19.66784477905201,1,4,E92-2.35,50.58726761145839,17
52.0000_-75.3000,52.0,-75.3,2.605867725464539,6.771871095570508,87600,mle,E92-2.35,512010.1656975111,50.97372846255266,19.818097053811773,1,4,E92-2.35,50.97372846255266,17
47.5000_-67.8000,47.5,-67.8,2.592855431846816,6.766191503557325,87600,mle,E92-2.35,511424.8907544346,51.032062827116555,19.84077689563164,1,4,E92-2.35,51.032062827116555,17
52.0000_-67.8000,52.0,-67.8,2.4108840429498994,6.718449302483677,87600,mle,E92-2.35,509410.8452648915,51.23382707480466,19.91922090126505,1,4,E92-2.35,51.23382707480466,17
50.5000_-63.3000,50.5,-63.3,2.374153374598322,6.704252883984774,87600,mle,E92-2.35,508393.01775450003,51.33639968465226,19.959100148836978,1,4,E92-2.35,51.33639968465226,17
49.0000_-79.8000,49.0,-79.8,2.639505884678433,6.745701619601965,87600,mle,E92-2.35,506389.4083330336,51.539520232554175,20.038071470993664,1,3,E92-2.35,51.539520232554175,17
46.0000_-70.8000,46.0,-70.8,2.4943916757750415,6.71205938162205,87600,mle,E92-2.35,505340.6687965625,51.64648081557504,20.079656720477566,1,4,E92-2.35,51.64648081557504,17
47.5000_-69.3000,47.5,-69.3,2.4916234980320633,6.692263644947721,87600,mle,E92-2.35,502052.7321555284,51.98471292901246,20.211158124298613,1,4,E92-2.35,51.98471292901246,17
52.0000_-69.3000,52.0,-69.3,2.5426162922425197,6.647173006095747,87600,mle,E92-2.35,492494.7843682514,52.99359096728334,20.603400235695272,1,3,E92-2.35,52.99359096728334,17
50.5000_-76.8000,50.5,-76.8,2.665503466420034,6.667124168237171,87600,mle,E92-2.35,491772.4117452671,53.07143412886399,20.633664910807553,1,2,E92-2.35,53.07143412886399,17
49.0000_-76.8000,49.0,-76.8,2.646205974487681,6.6568050555118,87600,mle,E92-2.35,490597.34840483556,53.19854915888143,20.6830860161076,1,2,E92-2.35,53.19854915888143,17
46.0000_-79.8000,46.0,-79.8,2.4201326827003777,6.606036275308362,87600,mle,E92-2.35,490111.6228667569,53.251271625988124,20.70358400598496,1,4,E92-2.35,53.251271625988124,17
47.5000_-70.8000,47.5,-70.8,2.1439269899648963,6.526678737549476,87600,mle,E92-2.35,489442.10896782187,53.32411469738783,20.731904693959702,1,5,E92-2.35,53.32411469738783,17
46.0000_-69.3000,46.0,-69.3,2.518912070330837,6.623342199493056,87600,mle,E92-2.35,489261.462984909,53.343803121351776,20.739559364487498,1,3,E92-2.35,53.343803121351776,17
49.0000_-69.3000,49.0,-69.3,2.2733966390494444,6.543311387590876,87600,mle,E92-2.35,485952.4590977543,53.707037936979404,20.880781579274476,1,4,E92-2.35,53.707037936979404,17
47.5000_-73.8000,47.5,-73.8,2.708306040178923,6.639482968868508,87600,mle,E92-2.35,485520.8643575802,53.754779809235714,20.899343161611963,1,2,E92-2.35,53.754779809235714,17
50.5000_-64.8000,50.5,-64.8,2.2711207064063084,6.5256651174356515,87600,mle,E92-2.35,483168.1544317676,54.01653009815075,21.001109165120855,1,4,E92-2.35,54.01653009815075,17
47.5000_-78.3000,47.5,-78.3,2.6480529626454405,6.591661248496088,87600,mle,E92-2.35,479147.1360608011,54.46983857797638,21.177351157210957,1,2,E92-2.35,54.46983857797638,17
47.5000_-76.8000,47.5,-76.8,2.6554218472953925,6.578844148969674,87600,mle,E92-2.35,476652.7595825366,54.754885252714544,21.28817457223694,1,2,E92-2.35,54.754885252714544,17
49.0000_-78.3000,49.0,-78.3,2.6963282289856454,6.536336204535216,87600,mle,E92-2.35,467791.84429008776,55.79205254409466,21.691415274095945,1,2,E92-2.35,55.79205254409466,17
47.5000_-75.3000,47.5,-75.3,2.70958917110707,6.534231588465827,87600,mle,E92-2.35,466962.5284411651,55.891138082228096,21.729938781608258,1,2,E92-2.35,55.891138082228096,17
50.5000_-69.3000,50.5,-69.3,2.580066099635185,6.494594812487339,87600,mle,E92-2.35,464819.2175864326,56.1488556601652,21.83013690574161,1,2,E92-2.35,56.1488556601652,17
46.0000_-72.3000,46.0,-72.3,2.385714688411934,6.4375683573698,87600,mle,E92-2.35,463335.53763237887,56.328653937698014,21.90004075271783,1,3,E92-2.35,56.328653937698014,17
46.0000_-78.3000,46.0,-78.3,2.577167953077959,6.479491100059318,87600,mle,E92-2.35,462334.34760584426,56.45063424658612,21.94746552765801,1,2,E92-2.35,56.45063424658612,17
47.5000_-72.3000,47.5,-72.3,2.4557520407298057,6.448389618171602,87600,mle,E92-2.35,462038.4779708679,56.48678281287452,21.96151974375456,1,2,E92-2.35,56.48678281287452,17
44.5000_-78.3000,44.5,-78.3,2.4925426257205734,6.425970925283027,87600,mle,E92-2.35,456665.6490360777,57.15136930360539,22.219904601429477,1,2,E92-2.35,57.15136930360539,17
44.5000_-75.3000,44.5,-75.3,2.292721213391257,6.3675126497617835,87600,mle,E92-2.35,456221.4997988492,57.20700836729255,22.241536536102362,1,3,E92-2.35,57.20700836729255,17
50.5000_-67.8000,50.5,-67.8,2.461331023217514,6.398242234486183,87600,mle,E92-2.35,453341.46267365717,57.57043929405421,22.382834997018573,1,2,E92-2.35,57.57043929405421,17
47.5000_-79.8000,47.5,-79.8,2.5609718639477523,6.410593247445725,87600,mle,E92-2.35,451178.0840001467,57.846486967933124,22.490159686764002,1,2,E92-2.35,57.846486967933124,17
46.0000_-75.3000,46.0,-75.3,2.560279635934198,6.328825013240492,87600,mle,E92-2.35,437276.8460827031,59.685454169680305,23.205132508690813,1,2,E92-2.35,59.685454169680305,17
50.5000_-66.3000,50.5,-66.3,2.0568584127807332,6.106528627224659,87600,mle,E92-2.35,428345.15833254356,60.929992200517994,23.688996966446155,1,4,E92-2.35,60.929992200517994,17
44.5000_-76.8000,44.5,-76.8,2.4637016160345606,6.248763183398202,87600,mle,E92-2.35,428160.91676213563,60.95621093513034,23.6991905591624,1,2,E92-2.35,60.95621093513034,17
44.5000_-73.8000,44.5,-73.8,2.2248925852950077,6.046318545779879,87600,mle,E92-2.35,408049.3382429234,63.960567290012385,24.86725551381898,1,2,E92-2.35,63.960567290012385,17
46.0000_-73.8000,46.0,-73.8,2.4647166663936444,6.118182147245414,87600,mle,E92-2.35,406419.00389482436,64.21714266856873,24.967009561780834,1,2,E92-2.35,64.21714266856873,17
49.0000_-72.3000,49.0,-72.3,2.420383028776967,6.104338620021661,87600,mle,E92-2.35,406399.5578855371,64.22021542573222,24.968204220314274,1,2,E92-2.35,64.22021542573222,17
49.0000_-66.3000,49.0,-66.3,2.0259115265889927,5.948272748334496,87600,mle,E92-2.35,406021.1806374392,64.28006321088199,24.991472465552114,1,3,E92-2.35,64.28006321088199,17
46.0000_-76.8000,46.0,-76.8,2.5285889237833103,6.044522293968257,87600,mle,E92-2.35,391098.33260965964,66.73274974654522,25.945053482135204,1,2,E92-2.35,66.73274974654522,17
44.5000_-72.3000,44.5,-72.3,2.1688779957707665,5.639554683641154,87600,mle,E92-2.35,348059.385581415,74.9845234391091,29.153264002294833,1,2,E92-2.35,74.9845234391091,17
44.5000_-70.8000,44.5,-70.8,1.9268622843702075,5.350084644854357,87600,mle,E92-2.35,324424.1373006891,80.4473655181269,31.277164642428623,1,2,E92-2.35,80.4473655181269,17
